"Date","Region","Province","AgeGroup","Gender","PartlyVaccinated","FullyVaccinated"
2020-12-28,"Brussels",NA,"18+",NA,56,0
2020-12-28,"Flanders",NA,"18+",NA,123,0
2020-12-28,"Wallonia",NA,"18+",NA,119,0
2020-12-29,"Flanders",NA,"18+",NA,1,0
2020-12-30,"Brussels",NA,"18+",NA,5,0
2020-12-30,"Flanders",NA,"18+",NA,461,0
2020-12-30,"Wallonia",NA,"18+",NA,1,0
2020-12-31,"Flanders",NA,"18+",NA,9,0
2021-01-01,"Flanders",NA,"18+",NA,9,0
2021-01-04,"Flanders",NA,"18+",NA,1,0
2021-01-05,"Brussels",NA,"18+",NA,575,0
2021-01-05,"Flanders",NA,"18+",NA,33,0
2021-01-05,NA,NA,"18+",NA,1,0
2021-01-05,"Wallonia",NA,"18+",NA,886,0
2021-01-06,"Brussels",NA,"18+",NA,959,0
2021-01-06,"Flanders",NA,"18+",NA,714,0
2021-01-06,NA,NA,"18+",NA,19,0
2021-01-06,"Wallonia",NA,"18+",NA,1914,0
2021-01-06,"Wallonia",NA,"<18",NA,2,0
2021-01-07,"Brussels",NA,"18+",NA,855,0
2021-01-07,"Flanders",NA,"18+",NA,2134,0
2021-01-07,NA,NA,"18+",NA,43,0
2021-01-07,"Wallonia",NA,"18+",NA,4783,0
2021-01-07,"Wallonia",NA,"<18",NA,3,0
2021-01-08,"Brussels",NA,"18+",NA,1214,0
2021-01-08,"Flanders",NA,"18+",NA,2857,0
2021-01-08,NA,NA,"18+",NA,14,0
2021-01-08,"Wallonia",NA,"18+",NA,4874,0
2021-01-08,"Flanders",NA,"<18",NA,1,0
2021-01-08,"Wallonia",NA,"<18",NA,1,0
2021-01-09,"Brussels",NA,"18+",NA,1,0
2021-01-09,"Flanders",NA,"18+",NA,3069,0
2021-01-09,"Wallonia",NA,"18+",NA,36,0
2021-01-09,"Flanders",NA,"<18",NA,1,0
2021-01-10,"Brussels",NA,"18+",NA,11,0
2021-01-10,"Flanders",NA,"18+",NA,346,0
2021-01-10,"Wallonia",NA,"18+",NA,36,0
2021-01-11,"Brussels",NA,"18+",NA,10,0
2021-01-11,"Flanders",NA,"18+",NA,3670,0
2021-01-11,NA,NA,"18+",NA,29,0
2021-01-11,"Wallonia",NA,"18+",NA,1631,0
2021-01-11,"Wallonia",NA,"<18",NA,2,0
2021-01-12,"Brussels",NA,"18+",NA,975,0
2021-01-12,"Flanders",NA,"18+",NA,7132,0
2021-01-12,NA,NA,"18+",NA,72,0
2021-01-12,"Wallonia",NA,"18+",NA,6095,0
2021-01-12,"Flanders",NA,"<18",NA,2,0
2021-01-12,"Wallonia",NA,"<18",NA,8,0
2021-01-13,"Brussels",NA,"18+",NA,2873,0
2021-01-13,"Flanders",NA,"18+",NA,8974,0
2021-01-13,NA,NA,"18+",NA,63,0
2021-01-13,"Wallonia",NA,"18+",NA,7103,0
2021-01-13,"Flanders",NA,"<18",NA,6,0
2021-01-13,"Wallonia",NA,"<18",NA,5,0
2021-01-14,"Brussels",NA,"18+",NA,1670,0
2021-01-14,"Flanders",NA,"18+",NA,11834,0
2021-01-14,NA,NA,"18+",NA,47,0
2021-01-14,"Wallonia",NA,"18+",NA,6486,0
2021-01-14,"Brussels",NA,"<18",NA,1,0
2021-01-14,"Flanders",NA,"<18",NA,4,0
2021-01-14,"Wallonia",NA,"<18",NA,8,0
2021-01-15,"Brussels",NA,"18+",NA,774,0
2021-01-15,"Flanders",NA,"18+",NA,13495,0
2021-01-15,NA,NA,"18+",NA,51,0
2021-01-15,"Wallonia",NA,"18+",NA,6200,0
2021-01-15,"Flanders",NA,"<18",NA,7,0
2021-01-15,"Wallonia",NA,"<18",NA,5,0
2021-01-16,"Brussels",NA,"18+",NA,7,0
2021-01-16,"Flanders",NA,"18+",NA,4043,0
2021-01-16,"Wallonia",NA,"18+",NA,301,0
2021-01-16,"Flanders",NA,"<18",NA,6,0
2021-01-17,"Brussels",NA,"18+",NA,4,0
2021-01-17,"Flanders",NA,"18+",NA,2499,0
2021-01-17,NA,NA,"18+",NA,4,0
2021-01-17,"Flanders",NA,"<18",NA,6,0
2021-01-18,"Brussels",NA,"18+",NA,99,0
2021-01-18,"Flanders",NA,"18+",NA,5012,109
2021-01-18,NA,NA,"18+",NA,14,0
2021-01-18,"Wallonia",NA,"18+",NA,3486,0
2021-01-18,"Flanders",NA,"<18",NA,19,0
2021-01-18,"Wallonia",NA,"<18",NA,7,0
2021-01-19,"Brussels",NA,"18+",NA,1087,51
2021-01-19,"Flanders",NA,"18+",NA,7658,8
2021-01-19,NA,NA,"18+",NA,13,0
2021-01-19,"Wallonia",NA,"18+",NA,3827,42
2021-01-19,"Flanders",NA,"<18",NA,46,0
2021-01-19,"Wallonia",NA,"<18",NA,2,0
2021-01-20,"Brussels",NA,"18+",NA,360,0
2021-01-20,"Flanders",NA,"18+",NA,4923,70
2021-01-20,NA,NA,"18+",NA,7,0
2021-01-20,"Wallonia",NA,"18+",NA,2908,0
2021-01-20,"Flanders",NA,"<18",NA,20,0
2021-01-20,"Wallonia",NA,"<18",NA,1,0
